module,type,name,res_id,src,value,comments
openacademy,model_terms,"ir.ui.view,arch_db",openacademy.session_form_view,Schedule,Schedule,
openacademy,model,"ir.model.fields,field_description",openacademy.field_wizard__session_id,Session,Session,
openacademy,model_terms,"ir.ui.view,arch_db",openacademy.session_calendar_view,Session Calendar,Session Calendar,
openacademy,model_terms,"ir.ui.view,arch_db",openacademy.session_form_view,Session Form,Session Form,
openacademy,model_terms,"ir.ui.view,arch_db",openacademy.session_tree_view,Session Tree,Session Tree,
openacademy,model,"ir.actions.report,name",openacademy.session_card_report,Session card,Session card,
openacademy,model,"ir.actions.act_window,name",openacademy.session_list_action,Sessions,Sessions,
openacademy,model,"ir.model.fields,field_description",openacademy.field_course__session_ids,Sessions,Sessions,
openacademy,model,"ir.ui.menu,name",openacademy.session_menu,Sessions,Sessions,
openacademy,model,"ir.model.fields,field_description",openacademy.field_session__start_date,Start Date,Start Date,
openacademy,model_terms,"ir.ui.view,arch_db",openacademy.report_session_id_card,Start Date :,Start Date :,
openacademy,model_terms,"ir.ui.view,arch_db",openacademy.wizard_form_view,Subscribe,Subscribe,
openacademy,model,"ir.model.fields,field_description",openacademy.field_session__taken_seats,Taken seats,Taken seats,
openacademy,model,"ir.model.constraint,message",openacademy.constraint_course_name_unique,The course title must be unique,The course title must be unique,
openacademy,model,"ir.model.constraint,message",openacademy.constraint_course_name_description_check,The title of the course should not be the description,The title of the course should not be the description,
openacademy,model,"ir.model.fields,field_description",openacademy.field_course__name,Title,Title,
openacademy,model,"ir.model.fields,field_description",openacademy.field_session__name,Title,Title,
openacademy,model,"ir.model,name",openacademy.model_wizard,Wizard: Quick Registration of Attendees to Sessions,Wizard: Quick Registration of Attendees to Sessions,
openacademy,model,"ir.model,name",openacademy.model_attendee,attendee,attendee,
openacademy,model_terms,"ir.ui.view,arch_db",openacademy.attendee_form_view,attendee Form,attendee Form,
openacademy,model_terms,"ir.ui.view,arch_db",openacademy.wizard_form_view,or,or,
